timestamp,event,details
2025-11-23 01:50:24,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_nba"", ""americanfootball_nfl"", ""americanfootball_ncaaf"", ""basketball_ncaab"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 01:50:27,SLEEP_MODE_ACTIVE,Sleeping until 08:00
2025-11-23 08:00:27,SLEEP_MODE_ENDED,Resumed operations
2025-11-23 08:05:18,SCHEDULED_SLEEP,Bot will run in 154.7 min
2025-11-23 10:40:01,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:40:03,BOT_FINISH,Code: 1
2025-11-23 10:41:04,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:41:06,BOT_FINISH,Code: 1
2025-11-23 10:42:08,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:42:10,BOT_FINISH,Code: 1
2025-11-23 10:43:11,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:43:13,BOT_FINISH,Code: 1
2025-11-23 10:44:14,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:44:17,BOT_FINISH,Code: 1
2025-11-23 10:45:18,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:45:20,BOT_FINISH,Code: 1
2025-11-23 10:46:21,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:46:24,BOT_FINISH,Code: 1
2025-11-23 10:47:25,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:47:27,BOT_FINISH,Code: 1
2025-11-23 10:48:29,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:48:31,BOT_FINISH,Code: 1
2025-11-23 10:49:32,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:49:34,BOT_FINISH,Code: 1
2025-11-23 10:50:35,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:50:37,BOT_FINISH,Code: 1
2025-11-23 10:51:39,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:51:41,BOT_FINISH,Code: 1
2025-11-23 10:52:42,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:52:44,BOT_FINISH,Code: 1
2025-11-23 10:53:45,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
