timestamp,match,sport,market,bookmakers,bookmaker_1,odds_1,stake_1,bookmaker_2,odds_2,stake_2,profit,result,bankroll_after,margin_percent,start_time
2025-11-18 16:31:16,Atlanta Hawks vs Detroit Pistons,basketball_nba,"h2h,spreads,totals","betway,coolbet,bet365,bodog,sportsbet,pinnacle,betonlineag,unibet,bovada,888sport",sportsbet,2.1581116321046414,3.1676904176904177,pinnacle,1.9095371565264847,3.5823095823095823,0.09,win,100.09,1.35,2025-11-19T01:10:00Z
2025-11-18 16:31:21,Northwestern Wildcats vs Minnesota Golden Gophers,americanfootball_ncaaf,"h2h,spreads,totals","betway,coolbet,bet365,bodog,sportsbet,pinnacle,betonlineag,unibet,bovada,888sport",betonlineag,1.6090345937423431,4.797711461766224,betway,2.747341679175896,2.8088419830704074,0.11,win,100.20,1.52,2025-11-22T17:00:00Z
