sport,total_profit,avg_profit,win_rate,num_bets
basketball_ncaab,249.58,31.1975,1.0,8
icehockey_nhl,85.39,5.022941176470589,0.9411764705882353,17
americanfootball_nfl,72.77,10.395714285714286,0.8571428571428571,7
americanfootball_ncaaf,14.08,3.52,1.0,4
basketball_nba,0.12,0.06,1.0,2
