game_id,home_team,away_team,market,outcomes,bookmakers,percent_profit,commence_time,sport
8c2d6a56aa63f42227f18a18fc3d2146,New Orleans Saints,Atlanta Falcons,h2h,h2h,"{'Atlanta Falcons': 1.96, 'New Orleans Saints': 2.4}","{'Atlanta Falcons': 'pinnacle', 'New Orleans Saints': 'betway'}",7.31,2025-11-23T21:26:24Z,Unknown
4553ba763cb3cfcfc33fd62672a2057f,Dallas Cowboys,Philadelphia Eagles,h2h,h2h,"{'Dallas Cowboys': 6.3, 'Philadelphia Eagles': 1.42}","{'Dallas Cowboys': 'coolbet', 'Philadelphia Eagles': 'pinnacle'}",13.7,2025-11-23T21:26:24Z,Unknown
9e7119f5a24471c39145663b84f100b2,Los Angeles Rams,Tampa Bay Buccaneers,spreads,spreads,"{'Los Angeles Rams': 2.04, 'Tampa Bay Buccaneers': 1.97}","{'Los Angeles Rams': 'pinnacle', 'Tampa Bay Buccaneers': 'coolbet'}",0.22,2025-11-24T01:20:00Z,Unknown
add41f9c719b8b4fbce60049ba4ede63,Xavier Musketeers,West Virginia Mountaineers,h2h,h2h,"{'West Virginia Mountaineers': 2.35, 'Xavier Musketeers': 2.6}","{'West Virginia Mountaineers': 'bovada', 'Xavier Musketeers': 'pinnacle'}",18.99,2025-11-23T21:19:20Z,Unknown
8767c57a9fe1de8b76539a7b66b91e12,Illinois St Redbirds,Coastal Carolina Chanticleers,h2h,h2h,"{'Coastal Carolina Chanticleers': 13.0, 'Illinois St Redbirds': 1.12}","{'Coastal Carolina Chanticleers': 'unibet', 'Illinois St Redbirds': 'betonlineag'}",3.02,2025-11-23T22:00:00Z,Unknown
6de6143ce48bd5d248183c53bda10417,Air Force Falcons,IUPUI Jaguars,h2h,h2h,"{'Air Force Falcons': 1.76, 'IUPUI Jaguars': 2.45}","{'Air Force Falcons': 'unibet', 'IUPUI Jaguars': 'betway'}",2.37,2025-11-23T22:05:00Z,Unknown
9aeb9f37ee8398f05aeb7a3719b520b1,New York Islanders,Seattle Kraken,spreads,spreads,"{'New York Islanders': 3.14, 'Seattle Kraken': 1.65}","{'New York Islanders': 'pinnacle', 'Seattle Kraken': 'coolbet'}",7.55,2025-11-23T22:08:46Z,Unknown
0a1dbaca1301e9f16498c5508151c951,San Jose Sharks,Boston Bruins,totals,totals,"{'Over': 2.06, 'Under': 1.99}","{'Over': 'sportsbet', 'Under': 'pinnacle'}",1.21,2025-11-24T01:10:00Z,Unknown
1ab28325ab9164c37591bf692f3017bf,Vancouver Canucks,Calgary Flames,totals,totals,"{'Over': 2.05, 'Under': 2.11}","{'Over': 'unibet', 'Under': 'sportsbet'}",3.83,2025-11-24T02:10:00Z,Unknown
27f50ddbc4c3fbad10398c5187a28dc7,Las Vegas Raiders,Cleveland Browns,h2h,h2h,"{'Cleveland Browns': 1.15, 'Las Vegas Raiders': 8.26}","{'Cleveland Browns': 'coolbet', 'Las Vegas Raiders': 'pinnacle'}",0.94,2025-11-23T21:05:22Z,Unknown
